pyth, uhoh, homefield
2.3091237298853464,0,1.1361060119398085
2.294624613777256,0,1.127768821579791
2.599874367364825,0,1.1718593013496157
2.4584827948778676,0,1.1344311627733696
2.4589615498188557,0,1.1342808424608768
2.3284924230541866,0,1.1452793069412819
2.408241233277406,0,1.15917471089518
2.599874367364825,0,1.1718593013496157
2.278849772816446,0,1.1357658167684122
2.3172783965020063,0,1.154919642082826
2.2873295445572244,0,1.1371976968145332
2.3091237298853464,0,1.1361060119398085
2.130560920423459,0,1.122810855043675
2.405006738951193,0,1.1612075497037564
2.278849772816446,0,1.1357658167684122
2.129512112913715,0,1.1381879152178696
2.3172783965020063,0,1.154919642082826
2.3732610174621054,0,1.1521442191262703
2.2114149016252482,0,1.1361574506100416
2.3172783965020063,0,1.154919642082826
